,id,Global_mut,Global_wt,LengthDiff,ScoreLocal_WT,ScoreLocal_mut,ScoreLocal_clean,TrueLabel
0,0,300.9768872130662,295.7714535612613,-5,295.7714535612613,296.3120052088052,-0.6444696187973021,Benign/Likely benign
1,1,289.070291409269,295.7714535612613,3,292.96701014228165,289.070291409269,3.323567420244217,Pathogenic
2,2,394.0236892265966,407.0873173591681,8,400.14877034095116,394.0236892265966,5.522799089550972,Likely pathogenic
3,4,407.2618615794927,408.39828756451607,1,407.45409575104713,407.2618615794927,0.16292423009872437,likely benign
4,5,279.895414814353,282.95622267760336,1,281.96881535090506,279.895414814353,1.8288621418178082,Pathogenic
5,13,133.90233474364504,132.85908450745046,-1,132.85908450745046,132.96960347285494,0.0,likely benign
6,23,176.53478303924203,182.04267226159573,1,181.04329071938992,176.53478303924203,4.024742882698774,Likely pathogenic
7,43,254.6736548449844,255.7124698124826,1,254.78755980357528,254.6736548449844,0.0,likely benign
8,50,222.6856284881942,232.08414431661367,8,225.3628961890936,222.6856284881942,2.1846808907575905,Pathogenic
9,52,222.6170808710158,227.46116982772944,3,224.71259741857648,222.6170808710158,2.213273089379072,Likely pathogenic
10,53,287.2457402879372,288.0215011071414,1,287.2612092923373,287.2457402879372,0.08555048704147339,likely benign
11,59,166.2491169795394,171.25493045151234,1,170.59732200205326,166.2491169795394,4.132615871727467,Pathogenic
12,83,335.7581284446642,336.63713296339847,1,335.6684188453946,335.7581284446642,-0.1761759221553802,likely benign
13,84,331.1114389784634,334.8613732699305,4,330.91029413975775,331.1114389784634,-0.3965163230895995,likely benign
14,86,208.5857094731182,210.71390686370432,1,210.0404702220112,208.5857094731182,1.3697172403335571,Pathogenic
15,89,310.1566533804871,314.64718936756253,1,313.7126961834729,310.1566533804871,3.1848572618328035,Likely pathogenic
16,92,267.85986860096455,270.1453427374363,1,269.14728966355324,267.85986860096455,1.4729582667350773,Likely pathogenic
17,96,261.6545026556123,266.4958487531403,5,262.0690158387879,261.6545026556123,0.39890101552009605,Pathogenic
18,97,430.9541764371097,435.306159440428,1,434.32970601692796,430.9541764371097,3.12495156750083,Pathogenic
19,98,432.3629999794066,435.306159440428,-1,435.306159440428,431.7441526092589,3.6381308138370514,Likely pathogenic
20,99,425.45486038178205,435.306159440428,4,431.3434475697577,425.45486038178205,5.038088336586952,Pathogenic
21,100,425.1875616199686,435.306159440428,3,432.31160897389054,425.1875616199686,6.9297193512902595,Likely pathogenic
22,101,429.1368378922343,435.306159440428,1,434.3079116977751,429.1368378922343,4.761625822633505,pathogenic
23,105,184.99456553161144,185.86491429060695,1,185.29816775768995,184.99456553161144,0.0,Pathogenic/Likely pathogenic
24,106,184.33407413214445,185.86491429060695,1,185.13306515663862,184.33407413214445,0.7770029008388519,Pathogenic
25,107,179.99047154188156,185.86491429060695,9,179.77119306474924,179.99047154188156,-0.008359491825103704,Likely pathogenic
26,108,384.6210845671594,384.5687322234735,1,384.43277486320585,384.6210845671594,0.0,likely benign
27,109,417.9483258351684,418.4093523360789,1,417.7626738883555,417.94832583516836,-0.08148825168609619,Benign
28,117,370.2537426063791,373.8381664194167,4,370.0999518074095,370.2537426063791,-0.0911858081817627,likely benign
29,122,345.9271832983941,351.23764001531526,2,349.26370685501024,345.9271832983941,3.0249605290591717,Pathogenic
30,123,348.6052603591233,351.23764001531526,1,350.4754315535538,348.60526035912335,2.0817643143236637,Pathogenic
31,125,345.35028245300055,342.57911267131567,-3,342.57911267131567,342.8171656355262,-0.15360990166664112,likely benign
32,127,257.9038202607408,256.8377519033529,-1,256.8377519033529,257.000490173079,0.0,likely benign
33,136,266.00635778997093,267.0495926402509,1,266.18178864941,266.00635778997093,-0.03453481197357178,likely benign
34,140,406.5749500328675,410.3487041322514,1,409.37802085559815,406.5749500328675,2.6571007668972015,likely_benign
35,145,203.3296891655773,209.27744100801647,3,206.32397596351802,203.3296891655773,3.315315969288349,Pathogenic
36,146,207.34319680929184,209.27744100801647,1,208.47826103679836,207.34319680929184,1.282780721783638,Pathogenic
37,154,336.575054184068,337.3793748227181,1,336.3914975730004,336.575054184068,-0.0944420993328095,Likely benign
38,155,338.2750508437166,337.3793748227181,-1,337.3793748227181,337.2851442346582,0.0,Likely benign
39,156,373.1239308333024,372.2039134483784,-1,372.20391344837844,372.15685178991407,-0.09764617681503296,Likely benign
40,158,299.33871558029205,300.24415567098185,1,299.35313543258235,299.33871558029205,0.0,Benign
41,161,233.90930846333504,242.18260122463107,3,239.2760389558971,233.90930846333504,5.21648183465004,Pathogenic
42,165,404.9298653984442,402.00322260707617,-3,402.00322260707617,401.96543792728335,0.0,likely benign
43,169,88.14225744080613,84.4336908259429,-4,84.4336908259429,84.18949465823243,0.32369074039161194,likely benign
44,171,92.40706665813924,99.69282192364336,7,92.69810790196061,92.40706665813923,0.0704340934753418,likely benign
45,172,67.5160842128098,74.92539171129465,8,67.64244569092989,67.5160842128098,0.3758420012891293,likely benign
46,173,50.65706703066826,75.090820543468,24,51.98697143048048,50.65706703066826,1.191561870276928,likely benign
47,175,221.78851890284568,223.64764301804823,1,222.73152457503602,221.78851890284568,0.6029905676841736,Pathogenic
48,176,222.51668761949983,223.64764301804823,1,222.8216137769632,222.51668761949986,-0.053745448589324896,Pathogenic
49,177,231.75414607208225,232.78330682963133,1,231.8118555471301,231.75414607208222,0.0,Likely benign
50,187,180.8706131260842,184.67354138940573,4,181.58971881121397,180.8706131260842,0.506042093038559,likely benign
51,205,192.60518744401637,194.8776613324881,1,193.91940002143383,192.60518744401634,1.3126278277486563,Pathogenic
52,206,192.0102291572839,194.8776613324881,-1,194.87766133248806,191.7801471222192,2.660636054351926,Likely pathogenic
53,208,206.21281214803457,238.45607046037912,28,214.14441657811403,206.21281214803457,7.940160237252712,Pathogenic
54,209,361.1451163529418,363.1067748332862,1,362.1117078328971,361.14511635294184,0.9467995166778564,Pathogenic
55,210,360.7719593928196,363.1067748332862,2,361.48845061310567,360.77195939281955,0.5377804022282362,Pathogenic
56,211,297.79405657947063,299.3569406718016,1,298.3788456171751,297.79405657947063,0.8420531600713731,Likely pathogenic
57,213,309.7741491987836,310.85468326113187,1,310.20846764347516,309.77414919878356,0.2298527956008911,likely_benign
58,226,272.4547902191989,274.4587866426445,1,273.45949534187093,272.4547902191989,1.0366511642932892,Pathogenic/Likely pathogenic
59,227,272.51101124240085,274.4587866426445,1,273.48850057134405,272.51101124240085,0.9544905126094819,Pathogenic
60,228,266.74336958420463,274.4587866426445,2,272.5060509205796,266.74336958420463,5.7003584711346775,Pathogenic
61,229,270.48648954182863,274.4587866426445,1,273.5256909490563,270.48648954182863,2.9899162352085114,Likely pathogenic
62,233,326.33346135914326,328.3727085478604,1,327.4118218906224,326.33346135914326,1.2009660005569458,Pathogenic
63,242,396.2767942901701,400.13301849830896,3,397.49896973837167,396.2767942901701,1.2192048244178295,Pathogenic
64,244,427.2362726042047,426.221674808301,-1,426.22167480830103,426.2653901288286,0.0,likely benign
65,250,330.04018746225483,336.6268819450188,3,334.23402874458316,330.04018746225483,3.698391005396843,Likely pathogenic
66,251,334.9967324126592,336.6268819450188,1,335.722381162529,334.9967324126592,0.7476136386394501,Pathogenic
67,252,323.9278718456626,328.80949744582176,7,324.0288811773062,323.9278718456626,0.0,Likely benign
68,283,260.8795202849433,262.6309278134722,1,261.65515632671304,260.8795202849433,0.5008714944124224,likely benign
69,284,261.08688189135864,263.46370614040643,1,262.47006577719003,261.08688189135864,1.019069641828537,likely benign
70,285,269.00278499815613,270.16008461499587,1,269.1713689067401,269.00278499815613,-0.019097238779067882,likely benign
71,286,267.7685424052179,266.8302351348102,-3,266.8302351348102,265.04317968711257,1.3184072934091091,likely benign
72,287,267.087123493664,266.1563743101433,-3,266.1563743101433,264.36348013114184,1.322554152458906,likely benign
73,291,330.44205853296444,330.378158983076,0,330.378158983076,330.44205853296444,-0.18627381324768055,likely_benign
74,292,334.7792473298032,330.378158983076,-4,330.378158983076,330.97940902528353,-0.3925195932388307,Benign/Likely benign
75,296,399.16984829586,403.0221164766699,4,399.23058109916747,399.16984829586,0.2740734666585922,likely_benign
76,297,396.1343303909525,403.0221164766699,2,401.0237728897482,396.1343303909525,4.85489293653518,Likely pathogenic
77,298,355.4221838545054,355.4221838545054,0,355.4221838545054,355.4221838545054,0.0,likely benign
78,299,357.4084555003792,355.4221838545054,-2,355.4221838545054,355.5123960468918,-0.08437818288803123,likely benign
79,300,360.4058344196528,355.4221838545054,-5,355.4221838545054,355.5036513041705,0.005123913288116455,likely benign
80,301,361.41967413015664,355.4221838545054,-6,355.4221838545054,355.51370397396386,0.024745464324951172,likely benign
81,302,354.45011506043375,355.4221838545054,1,354.51133118383586,354.45011506043375,0.0,likely benign
82,304,224.023759374395,223.33891436643896,-1,223.33891436643898,223.07010091282427,0.3780640438199042,Benign/Likely benign
83,307,390.1251137852669,392.3252276796848,1,391.3254504222423,390.1251137852669,1.2189528197050095,Benign
84,310,103.71331298351288,91.60152642428876,-9,91.60152642428875,94.8785794377327,-3.303278282284736,likely benign
85,311,164.61738951213192,167.31351552531123,1,166.31482974812388,164.61738951213192,1.8628709680633624,Likely pathogenic
86,317,217.2068504858762,219.4237341042608,1,218.4351020809263,217.2068504858762,1.0056484043598175,Pathogenic
87,328,381.7596086198464,380.4365147324279,-1,380.4365147324279,380.7675514752045,-0.5225938260555268,likely benign
88,333,253.6201197730843,256.60835442109965,3,253.67591092153452,253.6201197730843,0.0,likely_benign
89,355,401.37444815132767,400.4498481862247,-1,400.4498481862247,400.56437984202057,-0.16087746620178223,Likely benign
90,356,402.8188205184415,400.4498481862247,-3,400.4498481862247,400.26044754404575,-0.19350343942642206,Likely benign
91,357,307.1519392533228,307.9449069723487,0,307.9449069723487,307.1519392533228,0.29999546054750675,likely benign
92,358,305.73554942011833,307.9449069723487,2,306.1306509003043,305.73554942011833,0.8555952906608578,Benign
93,361,173.84839499456575,174.62992224952905,1,174.09174112341134,173.84839499456575,0.1354285478591919,Pathogenic
94,378,93.29776014084928,96.1086914219195,1,95.11006423609797,93.29776014084928,1.736856429837644,Pathogenic
95,380,109.03732422739267,108.05917210131884,-1,108.05917210131884,108.0907194390893,0.0,likely benign
96,382,298.5819352986291,300.201277513057,1,299.2141011543572,298.5819352986291,0.43278446793556213,Likely benign
97,383,264.4742508344352,265.55169004946947,1,264.5706248357892,264.4742508344352,0.0,likely benign
98,387,343.50416316790506,346.32713418547064,3,343.39885800424963,343.50416316790506,-0.10125450044870381,Benign
99,388,348.18040900304914,346.32713418547064,-2,346.32713418547064,346.2435002811253,0.0,Likely benign
100,392,381.2101797136711,391.9693585372297,5,388.16276297334116,381.2101797136711,6.5093866139650345,Likely pathogenic
101,393,135.76100243628025,150.95358170568943,5,146.1644311696291,135.76100243628025,9.31958383321762,Likely pathogenic
102,396,181.7863670885563,178.5593709591776,-4,178.5593709591776,178.29008278250694,0.10369729995727528,likely benign
103,398,364.92352130357176,365.74209151696414,1,364.9200361771509,364.92352130357176,-0.11717265844345093,Benign
104,403,242.4935127012432,239.5792237445712,-4,239.5792237445712,240.01553724333644,-1.1200886964797974,Pathogenic
105,424,158.20334233064204,156.6253877580166,1,156.56264623254538,158.20334233064204,-1.469105303287506,likely benign
106,428,319.802459705621,322.287111653015,1,321.288961423561,319.802459705621,1.6123065799474716,Likely pathogenic
107,432,247.3034869711846,248.08335139928383,1,247.54014917789027,247.3034869711846,0.2259975671768189,likely benign
108,434,363.1619022410596,368.2775185166393,5,363.32774586067535,363.1619022410596,0.0796133279800415,likely benign
109,436,239.8848415352404,246.65174596384168,7,239.70899622514844,239.8848415352404,0.0,Pathogenic
110,437,243.775804836303,246.65174596384168,3,243.70055239275098,243.775804836303,0.0,Benign
111,438,246.65174596384168,246.65174596384168,0,246.65174596384168,246.65174596384168,0.0,likely_benign
112,439,253.63378339167684,246.65174596384168,-7,246.65174596384168,246.7011912977323,0.0748332142829895,Pathogenic
113,440,251.6799395475537,246.65174596384168,-5,246.65174596384168,246.73872671462595,0.0,Pathogenic
114,441,243.66588267683983,246.65174596384168,1,245.71900372579694,243.66588267683983,1.5951283797621727,Likely pathogenic
115,442,209.56720504909757,207.62282544746995,-2,207.62282544746995,207.6850439682603,-0.12288379669189464,likely benign
116,443,268.30704731307924,269.2481838539243,1,268.50654197484255,268.30704731307924,0.40281528234481817,Pathogenic/Likely pathogenic
117,453,371.7440716861747,371.5568844336085,1,370.72704639611766,371.7440716861747,-1.0272337645292282,Pathogenic
118,469,335.5274866655236,337.7882391610183,1,337.1089244284667,335.5274866655236,1.4721852262737232,Likely pathogenic
119,491,259.4202118627727,259.84660217165947,1,259.3780595958233,259.4202118627727,0.2665461301803587,Likely benign
120,492,297.4571572788991,298.2569621276343,2,297.751123524853,297.4571572788991,0.18816888332366943,Likely benign
121,493,349.6849168112676,353.73173965496244,1,352.73204208893003,349.6849168112676,3.274013868533075,Likely pathogenic
122,494,351.45099812417175,353.73173965496244,1,352.7322915343684,351.45099812417175,1.2758522033691404,Likely pathogenic
123,496,374.6287882204633,379.5875893494813,3,377.0600369236199,374.6287882204633,2.3842570185661316,Pathogenic
124,497,372.6164326317376,379.5875893494813,7,373.11861207697075,372.61643263173755,0.0051562935113905195,Pathogenic
125,499,376.5642611037474,379.5875893494813,3,377.32585802290123,376.5642611037474,1.0974659956991673,Pathogenic
126,500,351.67525593098253,361.22971250349656,6,357.6692316108383,351.67525593098253,5.859575815498829,Pathogenic
127,509,100.7873520674184,103.98912381380796,4,100.91386581212282,100.7873520674184,0.0,likely benign
128,510,87.96053543593735,103.98912381380796,16,88.00246190279722,87.96053543593735,0.2771901367232204,likely benign
